gene_id,sh_ca,sh_cb,sh_cc,sh_tdpa,sh_tdpb,sh_tdpc
ENSG00000142675.17,4,5,2,6,15,9
ENSG00000188782.8,1,0,0,0,1,0
ENSG00000130695.15,17,21,19,30,38,36
ENSG00000142669.14,21,47,50,44,65,78
ENSG00000158062.20,9,5,11,13,8,18
ENSG00000169442.8,0,0,0,0,0,0
ENSG00000176092.15,2,0,2,0,1,5
ENSG00000176083.17,1,0,1,1,0,1
ENSG00000131914.10,1,1,0,3,3,4
ENSG00000117682.16,15,13,21,18,31,40
ENSG00000198830.10,10,18,22,31,32,57
ENSG00000117676.13,6,6,6,6,11,11
ENSG00000117713.19,185,238,174,227,332,420
ENSG00000060642.10,1,3,0,2,3,2
ENSG00000204160.11,7,17,20,26,36,46
ENSG00000175793.11,0,0,0,0,1,0
ENSG00000142751.14,9,13,13,19,17,32
ENSG00000198746.12,6,17,7,10,16,23
ENSG00000090273.13,59,60,64,83,111,126
ENSG00000131910.4,0,0,0,0,0,0
ENSG00000175707.8,0,0,0,0,1,0
ENSG00000253368.3,13,18,18,13,26,23
ENSG00000158246.7,0,0,0,1,0,0
ENSG00000090020.10,5,5,4,9,10,17
ENSG00000142784.15,17,24,15,28,36,34
ENSG00000186501.14,17,24,23,27,38,35
ENSG00000142765.17,1,0,1,0,1,1
ENSG00000142733.15,5,6,3,1,2,2
ENSG00000142748.12,0,1,0,0,0,0
ENSG00000174950.10,0,0,0,0,0,0
ENSG00000181773.6,0,0,1,0,1,0
ENSG00000158195.10,2,11,8,9,17,14
ENSG00000126705.14,67,104,87,136,170,196
ENSG00000000938.12,0,2,0,3,0,0
ENSG00000126709.14,0,0,0,0,1,0
ENSG00000009780.15,7,11,7,14,29,13
ENSG00000117758.13,85,109,103,101,171,207
ENSG00000117751.17,33,31,35,45,65,78
ENSG00000130775.15,0,0,0,1,0,0
ENSG00000117748.9,8,19,13,18,15,35
ENSG00000130768.14,0,0,0,0,0,0
ENSG00000158156.7,0,0,2,4,1,6
ENSG00000158161.15,9,11,17,23,30,39
ENSG00000169403.11,0,0,0,1,0,0
ENSG00000126698.10,34,26,32,37,64,103
ENSG00000130770.17,89,90,90,91,154,236
ENSG00000130766.4,11,35,15,13,16,15
ENSG00000130772.13,1,9,5,5,7,13
ENSG00000204138.12,20,39,45,49,59,75
ENSG00000180198.16,7,12,5,10,17,28
ENSG00000180098.9,15,15,17,27,45,52
ENSG00000120656.11,6,13,6,8,18,22
ENSG00000188060.7,0,0,0,0,0,0
ENSG00000162419.12,7,19,21,24,35,45
ENSG00000198492.15,56,61,48,64,83,110
ENSG00000116329.10,0,1,0,0,0,0
ENSG00000159023.21,117,177,145,238,312,403
ENSG00000253304.1,0,0,0,0,0,0
ENSG00000116350.16,70,68,66,90,117,138
ENSG00000116353.15,4,16,12,9,9,10
ENSG00000060656.19,2,9,9,13,10,11
ENSG00000162510.5,0,1,2,0,0,0
ENSG00000162511.7,0,0,0,0,0,0
ENSG00000162512.15,63,173,139,139,228,228
ENSG00000134644.15,114,158,127,151,223,249
ENSG00000084628.9,19,35,33,49,68,68
ENSG00000060688.12,25,29,36,36,55,65
ENSG00000121766.15,27,30,38,40,53,94
ENSG00000121769.7,3,5,5,8,9,9
ENSG00000168528.11,3,6,1,9,11,11
ENSG00000142910.15,1,0,0,0,0,0
ENSG00000121764.11,0,0,0,0,0,0
ENSG00000162517.12,13,28,21,18,34,62
ENSG00000084636.17,0,1,1,1,0,1
ENSG00000121753.12,9,28,26,17,33,46
ENSG00000134668.12,1,0,0,0,0,0
ENSG00000184007.20,7,9,9,24,13,31
ENSG00000121774.17,197,302,274,304,435,598
ENSG00000121775.17,11,25,21,28,38,44
ENSG00000025800.13,46,60,55,61,122,111
ENSG00000084652.15,19,31,38,28,43,83
ENSG00000160050.14,25,73,60,60,87,110
ENSG00000160051.11,1,3,5,5,7,11
ENSG00000222046.2,0,1,1,0,0,4
ENSG00000160055.19,2,1,3,1,12,6
ENSG00000084623.11,61,80,88,98,161,232
ENSG00000183615.5,0,0,0,0,0,0
ENSG00000182866.16,0,0,0,1,0,0
ENSG00000116478.11,1,2,5,5,8,4
ENSG00000175130.6,554,793,667,949,1272,1660
ENSG00000162526.6,0,0,1,0,2,0
ENSG00000225828.1,0,1,2,1,1,2
ENSG00000160058.18,42,56,59,65,109,119
ENSG00000254553.1,0,0,0,0,0,0
ENSG00000273274.1,1,2,2,1,0,7
ENSG00000160062.14,7,18,10,21,20,33
ENSG00000176261.15,2,9,3,10,19,28
ENSG00000162521.18,36,46,44,65,89,133
ENSG00000162520.14,0,0,0,0,0,1
ENSG00000162522.10,33,52,25,32,64,78
ENSG00000134684.10,206,252,254,252,331,433
ENSG00000116497.17,9,27,14,23,34,31
ENSG00000160097.17,6,18,11,22,33,35
ENSG00000121905.9,5,6,7,8,9,11
ENSG00000121900.18,0,1,0,1,0,0
ENSG00000116514.16,30,40,38,38,64,70
ENSG00000004455.16,9,8,11,23,22,22
ENSG00000142920.16,9,3,8,4,3,10
ENSG00000116525.13,9,15,13,11,17,17
ENSG00000160094.14,30,44,37,58,86,80
ENSG00000184389.9,0,0,0,0,2,0
ENSG00000134686.18,82,133,110,191,262,290
ENSG00000121903.14,6,2,5,9,8,13
ENSG00000121904.17,1,2,2,14,5,19
ENSG00000176256.10,0,0,1,0,0,0
ENSG00000142698.14,0,0,0,0,0,0
ENSG00000163866.8,7,10,9,7,11,18
ENSG00000189280.3,0,0,0,0,0,0
ENSG00000189433.5,0,0,0,0,0,0
ENSG00000188910.7,0,0,0,0,0,0
ENSG00000187513.8,0,1,0,0,0,1
ENSG00000116544.11,26,41,26,43,63,86
ENSG00000284773.1,0,0,0,0,0,0
ENSG00000271741.1,0,0,0,0,0,0
ENSG00000243749.1,0,0,0,0,0,0
ENSG00000163867.16,2,1,3,6,4,8
ENSG00000197056.10,6,7,1,12,9,19
ENSG00000116560.10,291,318,238,329,517,560
ENSG00000146463.11,48,59,46,46,85,112
ENSG00000142687.17,8,18,13,29,30,38
ENSG00000020129.15,79,142,108,122,241,212
ENSG00000116819.7,0,3,1,9,7,14
ENSG00000126067.11,70,159,112,126,182,208
ENSG00000142686.7,32,58,41,129,159,178
ENSG00000092853.13,3,1,2,6,6,6
ENSG00000134698.10,22,41,24,42,57,67
ENSG00000092847.11,13,28,28,44,66,71
ENSG00000126070.19,12,12,15,17,21,29
ENSG00000092850.11,4,4,3,7,9,13
ENSG00000116863.10,10,15,14,8,25,32
ENSG00000171812.12,0,0,0,0,1,0
ENSG00000054116.11,19,26,29,45,45,67
ENSG00000116871.15,196,291,256,225,274,340
ENSG00000054118.14,104,112,118,133,218,272
ENSG00000214193.10,5,5,6,8,9,6
ENSG00000142694.6,1,0,0,2,1,1
ENSG00000196182.10,15,19,19,22,31,37
ENSG00000181817.5,3,8,11,10,11,15
ENSG00000116885.18,9,10,8,8,19,22
ENSG00000116898.11,21,30,24,42,54,64
ENSG00000119535.17,0,0,0,0,0,1
ENSG00000163873.9,0,4,1,8,10,7
ENSG00000163874.10,0,2,0,0,1,1
ENSG00000163875.15,52,65,87,94,125,158
ENSG00000163877.10,20,23,22,35,48,52
ENSG00000163879.10,18,16,21,27,39,41
ENSG00000134697.12,42,40,46,57,86,87
ENSG00000169218.13,0,0,0,0,0,0
